upid,name,start_ts,end_ts,parent_upid
0,,,,
1,/system/bin/init,,,0.0
2,kthreadd,,,0.0
3,rcu_gp,,,2.0
4,slub_flushwq,,,2.0
5,netns,,,2.0
6,mm_percpu_wq,,,2.0
7,rcu_tasks_kthread,,,2.0
8,rcu_tasks_trace_kthread,,,2.0
9,ksoftirqd/0,,,2.0
10,rcu_preempt,,,2.0
11,rcuog/0,,,2.0
12,rcuop/0,,,2.0
13,rcub/0,,,2.0
14,rcu_exp_gp_kthread_worker,,,2.0
15,rcu_exp_par_gp_kthread_worker,,,2.0
16,migration/0,,,2.0
17,idle_inject/0,,,2.0
18,cpuhp/0,,,2.0
19,cpuhp/1,,,2.0
20,idle_inject/1,,,2.0
21,migration/1,,,2.0
22,ksoftirqd/1,,,2.0
23,kworker/1:0H,,,2.0
24,rcuop/1,,,2.0
25,cpuhp/2,,,2.0
26,idle_inject/2,,,2.0
27,migration/2,,,2.0
28,ksoftirqd/2,,,2.0
29,kworker/2:0H,,,2.0
30,rcuop/2,,,2.0
31,cpuhp/3,,,2.0
32,idle_inject/3,,,2.0
33,migration/3,,,2.0
34,ksoftirqd/3,,,2.0
35,kworker/3:0H,,,2.0
36,rcuop/3,,,2.0
37,cpuhp/4,,,2.0
38,idle_inject/4,,,2.0
39,migration/4,,,2.0
40,ksoftirqd/4,,,2.0
41,rcuog/4,,,2.0
42,rcuop/4,,,2.0
43,cpuhp/5,,,2.0
44,idle_inject/5,,,2.0
45,migration/5,,,2.0
46,ksoftirqd/5,,,2.0
47,rcuop/5,,,2.0
48,cpuhp/6,,,2.0
49,idle_inject/6,,,2.0
50,migration/6,,,2.0
51,ksoftirqd/6,,,2.0
52,rcuop/6,,,2.0
53,cpuhp/7,,,2.0
54,idle_inject/7,,,2.0
55,migration/7,,,2.0
56,ksoftirqd/7,,,2.0
57,rcuop/7,,,2.0
58,inet_frag_wq,,,2.0
59,kauditd,,,2.0
60,khungtaskd,,,2.0
61,oom_reaper,,,2.0
62,writeback,,,2.0
63,kcompactd0,,,2.0
64,kblockd,,,2.0
65,blkcg_punt_bio,,,2.0
66,edac-poller,,,2.0
67,devfreq_wq,,,2.0
68,watchdogd,,,2.0
69,kswapd0,,,2.0
70,erofs_worker/0,,,2.0
71,kthrotld,,,2.0
72,dmabuf-deferred-free-worker,,,2.0
73,nvme-wq,,,2.0
74,nvme-reset-wq,,,2.0
75,nvme-delete-wq,,,2.0
76,uas,,,2.0
77,dm_bufio_cache,,,2.0
78,hwrng,,,2.0
79,mld,,,2.0
80,ipv6_addrconf,,,2.0
81,irq/27-15110000.acpm_ipc,,,2.0
82,acpm_log,,,2.0
83,irq/160-aerdrv,,,2.0
84,pcie_wq,,,2.0
85,irq/162-aerdrv,,,2.0
86,pcie_wq,,,2.0
87,trusty-nop-0,,,2.0
88,trusty-nop-1,,,2.0
89,trusty-nop-2,,,2.0
90,trusty-nop-3,,,2.0
91,trusty-nop-4,,,2.0
92,trusty-nop-5,,,2.0
93,trusty-nop-6,,,2.0
94,trusty-nop-7,,,2.0
95,irq/167-15260000.exynos-adv_tracer,,,2.0
96,kdbgd,,,2.0
97,perf_mon_update_client_task,,,2.0
98,sched_pmu_wq,,,2.0
99,thermal_pressure,,,2.0
100,PT_resize,,,2.0
101,gnss_spi_wq,,,2.0
102,irq/187-eh_error,,,2.0
103,eh_comp_thread,,,2.0
104,irq/192-1a640000.sysmmu,,,2.0
105,irq/193-1a640000.sysmmu,,,2.0
106,irq/194-1a870000.sysmmu,,,2.0
107,irq/195-1a870000.sysmmu,,,2.0
108,irq/196-19840000.sysmmu,,,2.0
109,irq/197-19840000.sysmmu,,,2.0
110,irq/198-19c40000.sysmmu,,,2.0
111,irq/199-19c40000.sysmmu,,,2.0
112,irq/200-1c110000.sysmmu,,,2.0
113,irq/201-1c110000.sysmmu,,,2.0
114,irq/202-1c150000.sysmmu,,,2.0
115,irq/203-1c150000.sysmmu,,,2.0
116,irq/204-1c190000.sysmmu,,,2.0
117,irq/205-1c190000.sysmmu,,,2.0
118,irq/206-1d870000.sysmmu,,,2.0
119,irq/207-1d870000.sysmmu,,,2.0
120,irq/208-1a340000.sysmmu,,,2.0
121,irq/209-1a340000.sysmmu,,,2.0
122,irq/210-1c870000.sysmmu,,,2.0
123,irq/211-1c870000.sysmmu,,,2.0
124,irq/212-1cc80000.sysmmu,,,2.0
125,irq/213-1cc80000.sysmmu,,,2.0
126,irq/214-1ccc0000.sysmmu,,,2.0
127,irq/215-1ccc0000.sysmmu,,,2.0
128,irq/216-1cd00000.sysmmu,,,2.0
129,irq/217-1cd00000.sysmmu,,,2.0
130,irq/218-1c4a0000.sysmmu,,,2.0
131,irq/219-1c4a0000.sysmmu,,,2.0
132,irq/220-1c4e0000.sysmmu,,,2.0
133,irq/221-1c4e0000.sysmmu,,,2.0
134,irq/222-101c0000.sysmmu,,,2.0
135,irq/223-101c0000.sysmmu,,,2.0
136,irq/224-1a470000.sysmmu,,,2.0
137,irq/225-1a470000.sysmmu,,,2.0
138,irq/226-1d0a0000.sysmmu,,,2.0
139,irq/227-1d0a0000.sysmmu,,,2.0
140,irq/228-11040000.sysmmu,,,2.0
141,irq/229-11040000.sysmmu,,,2.0
142,irq/230-16440000.sysmmu,,,2.0
143,irq/231-16440000.sysmmu,,,2.0
144,irq/232-1d4c0000.sysmmu,,,2.0
145,irq/233-1d4c0000.sysmmu,,,2.0
146,irq/234-16c40000.sysmmu,,,2.0
147,irq/235-16c40000.sysmmu,,,2.0
148,irq/236-20a50000.sysmmu,,,2.0
149,irq/237-20a50000.sysmmu,,,2.0
150,irq/238-19090000.sysmmu,,,2.0
151,irq/239-19090000.sysmmu,,,2.0
152,simpleinteractive,,,2.0
153,simpleinteractive,,,2.0
154,simpleinteractive,,,2.0
155,simpleinteractive,,,2.0
156,simpleinteractive,,,2.0
157,simpleinteractive,,,2.0
158,simpleinteractive,,,2.0
159,simpleinteractive,,,2.0
160,simpleinteractive,,,2.0
161,simpleinteractive,,,2.0
162,g2d_completion,,,2.0
163,g2d_scheduler,,,2.0
164,scsi_eh_0,,,2.0
165,scsi_tmf_0,,,2.0
166,ufs_mgc_hibern8,,,2.0
167,ufs_eh_wq_0,,,2.0
168,ufs_clk_gating_,,,2.0
169,spi15,,,2.0
170,spi18,,,2.0
171,spi19,,,2.0
172,spi20,,,2.0
173,spi21,,,2.0
174,spi22,,,2.0
175,kworker/7:17,,,2.0
176,irq/314-s2mpg14-irq,,,2.0
177,slg51002wq,,,2.0
178,mfc/inst_migrat,,,2.0
179,mfc/butler,,,2.0
180,irq/360-1a4d0000.MFC-0,,,2.0
181,mfc_core/meerka,,,2.0
182,mfc_core/idle,,,2.0
183,mfc_core/butler,,,2.0
184,spmic-init,,,2.0
185,wq_odpm,,,2.0
186,wq_odpm,,,2.0
187,cp2ap_wakeup_wq,,,2.0
188,trigger_cp_cras,,,2.0
189,cpif_tpmon_moni,,,2.0
190,cpif_tpmon_boos,,,2.0
191,decon0_kthread,,,2.0
192,decon1_kthread,,,2.0
193,110f0000.drmdp,,,2.0
194,irq/409-max77779_pmic_irq,,,2.0
195,irq/415-max77779_pmic_sgpio_irq,,,2.0
196,ln8411_dc_wq,,,2.0
197,irq/412-max77779_charger,,,2.0
198,wq-tcpm-usb-psy-usb-type,,,2.0
199,wq-tcpm-usb-psy,,,2.0
200,max77759-bc12,,,2.0
201,irq/414-max77779_vimon,,,2.0
202,wq-tcpm-tcpc,,,2.0
203,wq-tcpc-dp-notification,,,2.0
204,wq-bcl-usb,,,2.0
205,i2c-max77759tcpc,,,2.0
206,irq/436-i2c-max77759tcpc,,,2.0
207,"google,usbc_por",,,2.0
208,irq/430-google_cpm_cop_warn,,,2.0
209,bcl_qos_update,,,2.0
210,irq/440-smpl_warn,,,2.0
211,irq/441-ocp_gpu,,,2.0
212,irq/411-max77779_fg_irq,,,2.0
213,irq/442-vdroop1,,,2.0
214,irq/416-batoilo,,,2.0
215,irq/443-batoilo2,,,2.0
216,gpu-dvfs-contro,,,2.0
217,gpu-dvfs-clockd,,,2.0
218,free_pages_work,,,2.0
219,mali_apc_thread,,,2.0
220,card0-crtc0,,,2.0
221,card0-crtc1,,,2.0
222,st_pstate_work,,,2.0
223,tbn_aoc_channel,,,2.0
224,f2fs_ckpt-8:10,,,2.0
225,f2fs_flush-8:10,,,2.0
226,f2fs_discard-8:10,,,2.0
227,f2fs_gc-8:10,,,2.0
228,kdmflush/254:0,,,2.0
229,kdmflush/254:1,,,2.0
230,kdmflush/254:2,,,2.0
231,kdmflush/254:3,,,2.0
232,kdmflush/254:4,,,2.0
233,kdmflush/254:5,,,2.0
234,kdmflush/254:6,,,2.0
235,kdmflush/254:7,,,2.0
236,kdmflush/254:8,,,2.0
237,kdmflush/254:9,,,2.0
238,kdmflush/254:10,,,2.0
239,kdmflush/254:11,,,2.0
240,kdmflush/254:12,,,2.0
241,kverityd,,,2.0
242,ext4-rsv-conver,,,2.0
243,kdmflush/254:13,,,2.0
244,kverityd,,,2.0
245,ext4-rsv-conver,,,2.0
246,kdmflush/254:14,,,2.0
247,kverityd,,,2.0
248,ext4-rsv-conver,,,2.0
249,kdmflush/254:15,,,2.0
250,kverityd,,,2.0
251,ext4-rsv-conver,,,2.0
252,kdmflush/254:16,,,2.0
253,kverityd,,,2.0
254,ext4-rsv-conver,,,2.0
255,kdmflush/254:17,,,2.0
256,kverityd,,,2.0
257,ext4-rsv-conver,,,2.0
258,kworker/3:1H,,,2.0
259,/system/bin/init,,,1.0
260,/system/bin/ueventd,,,1.0
261,kdmflush/254:18,,,2.0
262,kdmflush/254:20,,,2.0
263,kdmflush/254:21,,,2.0
264,kdmflush/254:22,,,2.0
265,kdmflush/254:24,,,2.0
266,kdmflush/254:27,,,2.0
267,kdmflush/254:28,,,2.0
268,kdmflush/254:29,,,2.0
269,kdmflush/254:30,,,2.0
270,kdmflush/254:33,,,2.0
271,kdmflush/254:35,,,2.0
272,kdmflush/254:36,,,2.0
273,kdmflush/254:37,,,2.0
274,kdmflush/254:38,,,2.0
275,kdmflush/254:39,,,2.0
276,kdmflush/254:41,,,2.0
277,kdmflush/254:42,,,2.0
278,kdmflush/254:43,,,2.0
279,kdmflush/254:45,,,2.0
280,kdmflush/254:46,,,2.0
281,kdmflush/254:48,,,2.0
282,kdmflush/254:49,,,2.0
283,kdmflush/254:52,,,2.0
284,kdmflush/254:55,,,2.0
285,kdmflush/254:56,,,2.0
286,kdmflush/254:58,,,2.0
287,ext4-rsv-conver,,,2.0
288,ext4-rsv-conver,,,2.0
289,ext4-rsv-conver,,,2.0
290,f2fs_ckpt-8:1,,,2.0
291,f2fs_flush-8:1,,,2.0
292,f2fs_discard-8:1,,,2.0
293,f2fs_gc-8:1,,,2.0
294,/system/bin/prng_seeder,,,1.0
295,/system/bin/logd,,,1.0
296,/system/bin/lmkd,,,1.0
297,/system/bin/servicemanager,,,1.0
298,/system/system_ext/bin/hwservicemanager,,,1.0
299,/vendor/bin/vndservicemanager,,,1.0
300,psimon,,,2.0
301,sugov:0,,,2.0
302,sugov:4,,,2.0
303,sugov:7,,,2.0
304,/system/bin/vold,,,1.0
305,ext4-rsv-conver,,,2.0
306,kdmflush/254:61,,,2.0
307,/system/bin/hw/android.system.suspend-service,,,1.0
308,/system/bin/keystore2,,,1.0
309,/vendor/bin/hw/android.hardware.boot-service.default-pixel,,,1.0
310,/vendor/bin/hw/android.hardware.security.keymint-service.citadel,,,1.0
311,/vendor/bin/hw/android.hardware.security.keymint-service.rust.trusty,,,1.0
312,/vendor/bin/hw/citadeld,,,1.0
313,/system/bin/surfaceflinger,,,1.0
314,/vendor/bin/hw/android.hardware.graphics.allocator-V2-service,,,1.0
315,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,,,1.0
316,krfcommd,,,2.0
317,f2fs_ckpt-254:61,,,2.0
318,f2fs_flush-254:61,,,2.0
319,f2fs_discard-254:61,,,2.0
320,cfg80211,,,2.0
321,pa_kill,,,2.0
322,pa_kill,,,2.0
323,f2fs_gc-254:61,,,2.0
324,f2fs_ckpt-8:5,,,2.0
325,f2fs_flush-8:5,,,2.0
326,f2fs_discard-8:5,,,2.0
327,f2fs_gc-8:5,,,2.0
328,f2fs_ckpt-8:6,,,2.0
329,f2fs_flush-8:6,,,2.0
330,f2fs_discard-8:6,,,2.0
331,gxp_power_work_,,,2.0
332,irq/473-aurora_mcu_wdg,,,2.0
333,f2fs_gc-8:6,,,2.0
334,gxp_response_4,,,2.0
335,gxp_response_3,,,2.0
336,lwis_s_top,,,2.0
337,lwis_t_isp-fe,,,2.0
338,f2fs_ckpt-8:7,,,2.0
339,f2fs_flush-8:7,,,2.0
340,f2fs_discard-8:7,,,2.0
341,lwis_t_gdc0,,,2.0
342,lwis_t_gdc1,,,2.0
343,lwis_t_mcsc,,,2.0
344,lwis_t_gse,,,2.0
345,lwis_t_be-core,,,2.0
346,lwis_t_gtnr-merge,,,2.0
347,lwis_t_gtnr-align,,,2.0
348,lwis_t_lme,,,2.0
349,f2fs_gc-8:7,,,2.0
350,lwis_t_votf,,,2.0
351,lwis_I2C_Bus_5,,,2.0
352,lwis_I2C_Bus_3,,,2.0
353,lwis_I2C_Bus_2,,,2.0
354,lwis_I2C_Bus_1,,,2.0
355,/vendor/bin/hw/android.hardware.power-service.pixel-libperfmgr,,,1.0
356,lwis_I2C_Bus_4,,,2.0
357,lwis_t_tof-tarasque,,,2.0
358,cs35l41_ramp,,,2.0
359,irq/511-cs35l41,,,2.0
360,cs35l41,,,2.0
361,cs35l41_ramp,,,2.0
362,irq/512-cs35l41,,,2.0
363,/system/bin/tombstoned,,,1.0
364,cs35l41,,,2.0
365,mali-gpuq-kthread,,,2.0
366,csf_kcpu_worker,,,2.0
367,irq/515-qbt_ipc,,,2.0
368,hsspi,,,2.0
369,ext4-rsv-conver,,,2.0
370,ext4-rsv-conver,,,2.0
371,ext4-rsv-conver,,,2.0
372,ext4-rsv-conver,,,2.0
373,kverityd,,,2.0
374,ext4-rsv-conver,,,2.0
375,ext4-rsv-conver,,,2.0
376,ext4-rsv-conver,,,2.0
377,kverityd,,,2.0
378,ext4-rsv-conver,,,2.0
379,ext4-rsv-conver,,,2.0
380,ext4-rsv-conver,,,2.0
381,ext4-rsv-conver,,,2.0
382,ext4-rsv-conver,,,2.0
383,ext4-rsv-conver,,,2.0
384,kverityd,,,2.0
385,ext4-rsv-conver,,,2.0
386,ext4-rsv-conver,,,2.0
387,ext4-rsv-conver,,,2.0
388,ext4-rsv-conver,,,2.0
389,ext4-rsv-conver,,,2.0
390,kverityd,,,2.0
391,ext4-rsv-conver,,,2.0
392,kverityd,,,2.0
393,ext4-rsv-conver,,,2.0
394,kverityd,,,2.0
395,kverityd,,,2.0
396,ext4-rsv-conver,,,2.0
397,ext4-rsv-conver,,,2.0
398,ext4-rsv-conver,,,2.0
399,kverityd,,,2.0
400,kverityd,,,2.0
401,ext4-rsv-conver,,,2.0
402,kverityd,,,2.0
403,ext4-rsv-conver,,,2.0
404,ext4-rsv-conver,,,2.0
405,kverityd,,,2.0
406,ext4-rsv-conver,,,2.0
407,ext4-rsv-conver,,,2.0
408,kverityd,,,2.0
409,ext4-rsv-conver,,,2.0
410,kverityd,,,2.0
411,ext4-rsv-conver,,,2.0
412,kverityd,,,2.0
413,ext4-rsv-conver,,,2.0
414,kverityd,,,2.0
415,ext4-rsv-conver,,,2.0
416,kverityd,,,2.0
417,kverityd,,,2.0
418,kverityd,,,2.0
419,kverityd,,,2.0
420,kverityd,,,2.0
421,kverityd,,,2.0
422,ext4-rsv-conver,,,2.0
423,ext4-rsv-conver,,,2.0
424,kverityd,,,2.0
425,kverityd,,,2.0
426,kverityd,,,2.0
427,ext4-rsv-conver,,,2.0
428,ext4-rsv-conver,,,2.0
429,kverityd,,,2.0
430,kverityd,,,2.0
431,ext4-rsv-conver,,,2.0
432,ext4-rsv-conver,,,2.0
433,ext4-rsv-conver,,,2.0
434,ext4-rsv-conver,,,2.0
435,ext4-rsv-conver,,,2.0
436,ext4-rsv-conver,,,2.0
437,ext4-rsv-conver,,,2.0
438,magiskd,,,1.0
439,/vendor/bin/sscoredump,,,1.0
440,/system/bin/netd,,,1.0
441,/apex/com.android.os.statsd/bin/statsd,,,1.0
442,zygote64,,,1.0
443,/system/bin/iptables-restore,,,440.0
444,/system/bin/ip6tables-restore,,,440.0
445,/system/system_ext/bin/hw/android.hidl.allocator@1.0-service,,,1.0
446,/system_ext/bin/hw/vendor.google.edgetpu_app_service@1.0-service,,,1.0
447,/vendor/bin/hw/android.hardware.audio.service-aidl.aoc,,,1.0
448,/vendor/bin/hw/android.hardware.authsecret-service.citadel,,,1.0
449,/vendor/bin/hw/android.hardware.bluetooth-service.bcmbtlinux,,,1.0
450,/apex/com.google.pixel.camera.hal/bin/hw/android.hardware.camera.provider@2.7-service-google,,,1.0
451,/vendor/bin/hw/android.hardware.contexthub-service.generic,,,1.0
452,/vendor/bin/hw/android.hardware.drm-service.clearkey,,,1.0
453,/vendor/bin/hw/android.hardware.dumpstate-service,,,1.0
454,/vendor/bin/hw/android.hardware.gatekeeper-service.trusty,,,1.0
455,/vendor/bin/hw/android.hardware.health-service.zumapro,,,1.0
456,/vendor/bin/hw/android.hardware.neuralnetworks@service-darwinn-aidl,,,1.0
457,/vendor/bin/hw/android.hardware.oemlock-service.citadel,,,1.0
458,/vendor/bin/hw/android.hardware.power.stats-service.pixel,,,1.0
