upid,name,start_ts,end_ts,parent_upid
459,/vendor/bin/hw/android.hardware.qorvo.uwb-service,,,1.0
460,/vendor/bin/hw/android.hardware.secure_element-service.uicc,,,1.0
461,/vendor/bin/hw/android.hardware.secure_element-service.uicc,,,1.0
462,/vendor/bin/hw/android.hardware.secure_element-service.thales,,,1.0
463,/vendor/bin/hw/android.hardware.security.secretkeeper.trusty,,,1.0
464,/vendor/bin/hw/android.hardware.sensors-service.multihal,,,1.0
465,/vendor/bin/hw/android.hardware.usb-service,,,1.0
466,/vendor/bin/hw/android.hardware.usb.gadget-service,,,1.0
467,/vendor/bin/hw/android.hardware.weaver-service.citadel,,,1.0
468,/vendor/bin/hw/google.hardware.media.c2@2.0-service,,,1.0
469,/vendor/bin/hw/android.hardware.memtrack-service.pixel,,,1.0
470,/vendor/bin/hw/android.hardware.nfc-service.st,,,1.0
471,/vendor/bin/hw/samsung.hardware.media.c2@1.2-service,,,1.0
472,/vendor/bin/hw/vendor.dolby.media.c2@1.0-service,,,1.0
473,/vendor/bin/hw/vendor.google.aam-service,,,1.0
474,/vendor/bin/hw/vendor.google.google_battery-service,,,1.0
475,/vendor/bin/hw/vendor.google.radio_ext-service,,,1.0
476,/vendor/bin/hw/vendor.google.radioext@1.0-service,,,1.0
477,/vendor/bin/hw/vendor.google.wireless_charger-default,,,1.0
478,kworker/0:36H,,,2.0
479,/apex/com.android.hardware.cas/bin/hw/android.hardware.cas-service.example,,,1.0
480,/apex/com.google.android.widevine/bin/hw/android.hardware.drm-service.widevine,,,1.0
481,/apex/com.google.pixel.wifi.ext/bin/hw/vendor.google.wifi_ext-service-vendor,,,1.0
482,/system/bin/audioserver,,,1.0
483,/system/bin/credstore,,,1.0
484,/system/bin/gpuservice,,,1.0
485,/system_ext/bin/gs_watchdogd,,,1.0
486,/system_ext/bin/hw/vendor.google.whitechapel.audio.hal.parserservice,,,1.0
487,/vendor/bin/shared_modem_platform,,,1.0
488,/vendor/bin/modem_ml_svc_sit,,,1.0
489,/vendor/bin/hw/android.hardware.gnss-service.pixel,,,1.0
490,/vendor/bin/hw/android.hardware.neuralnetworks@service-darwinn-aidl,,,456.0
491,dhd_rx_pktpool_thread,,,2.0
492,dhd_watchdog_thread,,,2.0
493,dhd_rpm_state_thread,,,2.0
494,dhd_logtrace_thread,,,2.0
495,/system/bin/drmserver,,,1.0
496,/system/bin/traced_probes,,,1.0
497,/system/bin/traced,,,1.0
498,/system/vendor/bin/wfc-pkt-router,,,1.0
499,/system/bin/cameraserver,,,1.0
500,/system/bin/incidentd,,,1.0
501,/system/bin/installd,,,1.0
502,media.extractor,,,1.0
503,media.metrics,,,1.0
504,/system/bin/mediaserver,,,1.0
505,/system/bin/storaged,,,1.0
506,/system/bin/wificond,,,1.0
507,/vendor/bin/bipchmgr,,,1.0
508,/vendor/bin/cbd,,,1.0
509,/vendor/bin/dmd,,,1.0
510,/vendor/bin/hw/gnssd,,,1.0
511,/vendor/bin/hw/android.hardware.gnss-service,,,1.0
512,/vendor/bin/liboemservice_proxy_default,,,1.0
513,/vendor/bin/rfsd,,,1.0
514,/vendor/bin/hw/rild_exynos,,,1.0
515,/vendor/bin/trusty_metricsd,,,1.0
516,media.swcodec,,,1.0
517,/system/bin/gatekeeperd,,,1.0
518,/system/bin/update_engine,,,1.0
519,syna_reflash,,,2.0
520,/vendor/bin/hw/android.hardware.edgetpu.logging@service-edgetpu-logging,,,1.0
521,/vendor/bin/hw/android.hardware.gxp.logging@service-gxp-logging,,,1.0
522,/vendor/bin/aocd,,,1.0
523,/vendor/bin/aocxd,,,1.0
524,/apex/com.google.android.hardware.biometrics.face/bin/hw/android.hardware.biometrics.face-service.pixel,,,1.0
525,kworker/1:2H,,,2.0
526,irq/523-cs40l26,,,2.0
527,irq/521-synaptics_tcm,,,2.0
528,/vendor/bin/hw/android.hardware.vibrator-service.cs40l26,,,1.0
529,/vendor/bin/hw/battery_mitigation,,,1.0
530,com.google.usf,,,2.0
531,com.google.usf.non_wake_up,,,2.0
532,com.google.chre,,,2.0
533,com.google.chre.non_wake_up,,,2.0
534,system_server,,,442.0
535,kworker/7:6H,,,2.0
536,kworker/7:7H,,,2.0
537,kworker/5:21H,,,2.0
538,kworker/5:23H,,,2.0
539,irq/520-dhdpcie_host_wake,,,2.0
540,/vendor/bin/hw/android.hardware.thermal-service.pixel,,,1.0
541,csf_kcpu_worker,,,2.0
542,/vendor/bin/storageproxyd,,,1.0
543,/vendor/bin/hw/qfp-daemon,,,1.0
544,com.android.systemui,,,442.0
545,webview_zygote,,,442.0
546,com.android.networkstack.process,,,442.0
547,/vendor/bin/hw/android.hardware.input.processor-service,,,1.0
548,com.google.android.flipendo,,,442.0
549,dhd_eventd,,,2.0
550,com.google.android.bluetooth,,,442.0
551,/vendor/bin/hw/wpa_supplicant,,,1.0
552,com.google.android.pixelsystemservice,,,442.0
553,com.google.pixel.camera.services,,,442.0
554,com.google.android.grilservice,,,442.0
555,com.samsung.slsi.telephony.oem.oemrilhookservice,,,442.0
556,com.google.pixel.digitalkey.timesync,,,442.0
557,com.android.se,,,442.0
558,com.shannon.rcsservice,,,442.0
559,com.shannon.imsservice,,,442.0
560,com.google.android.apps.cbrsnetworkmonitor,,,442.0
561,com.android.pixeldisplayservice,,,442.0
562,com.samsung.slsi.telephony.oemril,,,442.0
563,com.android.phone,,,442.0
564,com.google.android.rilextension,,,442.0
565,com.android.telephony.imsmedia,,,442.0
566,com.android.settings,,,442.0
567,com.google.android.ext.services,,,442.0
568,kworker/6:22H,,,2.0
569,kworker/6:23H,,,2.0
570,com.google.android.apps.nexuslauncher,,,442.0
571,csf_kcpu_worker,,,2.0
572,com.google.android.iwlan,,,442.0
573,com.google.android.satellite,,,442.0
574,com.samsung.slsi.telephony.satelliteservice,,,442.0
575,com.android.qns,,,442.0
576,com.google.android.apps.wellbeing,,,442.0
577,/vendor/bin/twoshay,,,1.0
578,com.google.android.euicc,,,442.0
579,com.google.android.providers.media.module,,,442.0
580,/vendor/bin/pixelstats-vendor,,,1.0
581,com.android.printspooler,,,442.0
582,com.android.nfc,,,442.0
583,com.google.SSRestartDetector,,,442.0
584,com.google.android.connectivitythermalpowermanager,,,442.0
585,com.android.sdm.plugins.connmo,,,442.0
586,com.android.keychain,,,442.0
587,com.google.android.apps.dreamliner,,,442.0
588,com.google.euiccpixel,,,442.0
589,com.google.android.setupwizard,,,442.0
590,csf_kcpu_worker,,,2.0
591,csf_kcpu_worker,,,2.0
592,com.shannon.rcsservice:shannonrcsservice,,,442.0
593,.ShannonImsService,,,442.0
594,com.google.android.apps.camera.services,,,442.0
595,com.google.android.gm,,,442.0
596,com.google.android.gms.unstable,,,442.0
597,com.google.android.apps.wallpaper,,,442.0
598,com.google.android.inputmethod.latin,,,442.0
599,com.google.android.rkpdapp,,,442.0
600,com.android.localtransport,,,442.0
601,com.google.android.apps.turbo,,,442.0
602,com.google.android.apps.work.oobconfig,,,442.0
603,com.google.android.carriersetup,,,442.0
604,com.topjohnwu.magisk,,,442.0
605,su,,,604.0
606,/data/app/~~4sUpgNRQMDSAk-UB4wA-sg==/com.topjohnwu.magisk-EgBkgf4fr_jYYrocCacVjA==/lib/arm64/libbusybox.so,,,438.0
607,com.google.android.partnersetup,,,442.0
608,com.topjohnwu.magisk:root:0,,,606.0
609,com.google.omadm.trigger,,,442.0
610,com.android.imsserviceentitlement,,,442.0
611,com.google.RilConfigService,,,442.0
612,com.google.android.apps.carrier.carrierwifi,,,442.0
613,com.google.android.carrier,,,442.0
614,com.google.android.wfcactivation,,,442.0
615,com.android.DeviceAsWebcam,,,442.0
616,android.process.media,,,442.0
617,com.android.carrierdefaultapp,,,442.0
618,com.google.android.repairmode,,,442.0
619,com.google.android.apps.work.clouddpc,,,442.0
620,com.google.android.onetimeinitializer,,,442.0
621,com.google.android.apps.diagnosticstool,,,442.0
622,com.google.android.photopicker,,,442.0
623,com.android.devicediagnostics,,,442.0
624,csf_kcpu_worker,,,2.0
625,com.android.dynsystem,,,442.0
626,com.google.android.apps.scone,,,442.0
627,com.android.dynsystem:dynsystem,,,442.0
628,com.android.hotwordenrollment.okgoogle,,,442.0
629,com.android.hotwordenrollment.xgoogle,,,442.0
630,com.android.managedprovisioning,,,442.0
631,com.google.android.apps.stargate,,,442.0
632,com.google.android.pixelsystemservice:ephemeral,,,442.0
633,com.android.omadm.service,,,442.0
634,com.android.providers.calendar,,,442.0
635,com.google.android.apps.carrier.log,,,442.0
636,com.google.android.apps.docs,,,442.0
637,com.google.android.apps.maps,,,442.0
638,com.google.android.apps.nbu.files,,,442.0
639,kworker/2:2H,,,2.0
640,csf_kcpu_worker,,,2.0
641,com.google.android.turboadapter,,,442.0
642,com.google.android.apps.pixel.support,,,442.0
643,com.google.android.apps.restore,,,442.0
644,com.google.android.apps.setupwizard.searchselector,,,442.0
645,com.google.android.apps.turbo:aab,,,442.0
646,com.google.android.apps.turbo:ssb,,,442.0
647,com.google.android.calendar,,,442.0
648,csf_kcpu_worker,,,2.0
649,com.google.android.configupdater,,,442.0
650,com.google.android.federatedcompute,,,442.0
651,com.google.android.hardwareinfo,,,442.0
652,com.google.android.ondevicepersonalization.services,,,442.0
653,com.google.android.packageinstaller,,,442.0
654,com.google.android.projection.gearhead:car,,,442.0
655,com.google.android.tts,,,442.0
656,com.google.android.uvexposurereporter,,,442.0
657,com.google.android.videos,,,442.0
658,com.google.pixel.livewallpaper,,,442.0
659,com.android.externalstorage,,,442.0
660,com.android.chrome,,,442.0
661,com.google.android.apps.privacy.wildlife,,,442.0
662,com.google.android.settings.intelligence,,,442.0
663,csf_kcpu_worker,,,2.0
664,/apex/com.android.adbd/bin/adbd,,,1.0
665,/system/bin/mdnsd,,,1.0
666,kworker/0:0H,,,2.0
667,com.google.android.soundpicker,,,442.0
668,com.google.android.pixel.setupwizard,,,442.0
669,com.google.android.apps.accessibility.voiceaccess,,,442.0
670,com.google.assistant.hubui:search,,,442.0
671,com.google.android.apps.emojiwallpaper,,,442.0
672,com.google.android.accessibility.soundamplifier,,,442.0
673,com.google.android.projection.gearhead:shared,,,442.0
674,com.android.vending,,,442.0
675,csf_kcpu_worker,,,2.0
676,com.google.android.webview:webview_service,,,442.0
677,com.google.android.adservices.api,,,442.0
678,kworker/1:2,,,2.0
679,kworker/u17:3,,,2.0
680,irq/447-dwc3,,,2.0
681,com.google.android.setupwizard:remote,,,442.0
682,kworker/u16:9,,,2.0
683,kworker/4:0H,,,2.0
684,com.android.vending:quick_launch,,,442.0
685,kworker/2:2,,,2.0
686,com.google.android.deskclock,,,442.0
687,dio/dm-61,,,2.0
688,kworker/0:1,,,2.0
689,com.google.android.gms.persistent,,,442.0
690,kworker/5:2,,,2.0
691,kworker/6:0,,,2.0
692,com.google.android.gms,,,442.0
693,erofs_worker/1,,,2.0
694,erofs_worker/2,,,2.0
695,erofs_worker/3,,,2.0
696,erofs_worker/4,,,2.0
697,erofs_worker/5,,,2.0
698,erofs_worker/6,,,2.0
699,erofs_worker/7,,,2.0
700,kworker/3:1,,,2.0
701,com.google.android.youtube,,,442.0
702,kworker/6:2,,,2.0
703,com.android.vending:instant_app_installer,,,442.0
704,com.google.android.apps.weather,,,442.0
705,csf_kcpu_worker,,,2.0
706,csf_kcpu_worker,,,2.0
707,com.google.android.webview:webview_apk,,,442.0
708,com.fitbit.FitbitMobile,,,442.0
709,kworker/dying,,,2.0
710,csf_kcpu_worker,,,2.0
711,com.android.angle,,,442.0
712,com.android.traceur,,,442.0
713,com.google.android.accessibility.switchaccess,,,442.0
714,com.google.android.apps.pixel.dcservice:projection,,,442.0
715,com.google.android.gms.ui,,,442.0
716,com.google.android.apps.pixel.support:projection,,,442.0
717,com.google.android.permissioncontroller,,,442.0
718,com.google.android.apps.safetyhub,,,442.0
719,com.google.android.cellbroadcastreceiver,,,442.0
720,com.google.android.marvin.talkback,,,442.0
721,com.google.android.healthconnect.controller,,,442.0
722,com.google.android.GoogleCamera,,,442.0
723,csf_kcpu_worker,,,2.0
724,com.google.android.apps.messaging,,,442.0
725,com.google.android.apps.messaging:rcs,,,442.0
726,com.google.android.apps.photos,,,442.0
727,kworker/2:0,,,2.0
728,com.google.android.googlequicksearchbox:interactor,,,442.0
729,com.google.android.googlequicksearchbox:googleapp,,,442.0
730,com.google.android.as,,,442.0
731,com.google.android.as.oss,,,442.0
732,com.google.android.apps.pixel.agent,,,442.0
733,com.google.android.aicore,,,442.0
734,com.google.android.apps.docs.editors.docs,,,442.0
735,android.process.acore,,,442.0
736,com.google.android.keep,,,442.0
737,com.google.android.apps.magazines,,,442.0
738,com.google.android.apps.walletnfcrel,,,442.0
739,com.google.android.apps.subscriptions.red,,,442.0
740,com.google.android.apps.wear.companion,,,442.0
741,com.google.android.apps.wear.companion:persistent,,,442.0
742,kworker/4:1H,,,2.0
743,com.google.android.apps.adm,,,442.0
744,kworker/7:0,,,2.0
745,kworker/u17:0,,,2.0
746,kworker/3:2,,,2.0
747,kworker/5:0,,,2.0
748,kworker/u16:2,,,2.0
749,kworker/0:0,,,2.0
750,kworker/4:3,,,2.0
751,kworker/4:4,,,2.0
752,kworker/u17:2,,,2.0
753,com.google.android.apps.pixel.dcservice,,,442.0
754,kworker/u16:1,,,2.0
755,com.google.android.googlequicksearchbox:search,,,442.0
756,bigo_worker_thread,,,2.0
757,kworker/dying,,,2.0
758,kworker/1:3,,,2.0
759,kworker/5:1,,,2.0
760,kworker/0:2,,,2.0
761,kworker/4:0,,,2.0
762,kworker/2:1,,,2.0
763,kworker/2:3,,,2.0
764,kworker/0:3,,,2.0
765,/system/bin/traced_perf,,,1.0
